GU,Date,offense,Count
TAMUGAN,2020-01-01,VANDALISM,24
WINES,2020-01-01,ROBBERY,9
LIZADA,2020-01-01,CARNAPPING,12
BAO ESCUELA,2020-01-01,PHYSICAL INJURY,20
SALAYSAY,2020-01-01,ILLEGAL POSSESSION OF FIREARMS,5
RIVERSIDE,2020-01-01,DRUG-RELATED,13
TOMAS MONTEVERDE,2020-01-01,RAPE,13
LOS AMIGOS,2020-01-01,CHILD ABUSE,11
BAGANIHAN,2020-01-01,VANDALISM,4
MALAGOS,2020-01-01,HOMICIDE,24
TALOMO RIVER,2020-01-01,MURDER,10
BUNAWAN,2020-01-01,VANDALISM,6
MANUEL GUIANGA,2020-01-01,VANDALISM,12
PANACAN,2020-01-01,HOMICIDE,1
PAQUIBATO,2020-01-01,HOMICIDE,13
BARANGAY 9-A,2020-01-01,RAPE,14
CATALUNAN GRANDE,2020-01-01,HOMICIDE,1
GUMALANG,2020-01-01,PHYSICAL INJURY,13
CATALUNAN GRANDE,2020-01-01,CARNAPPING,4
ACACIA,2020-01-01,ILLEGAL POSSESSION OF FIREARMS,14
NEW VALENCIA,2020-01-01,DRUG-RELATED,3
ALFONSO ANGLIONGTO SR,2020-01-01,CHILD ABUSE,12
INDANGAN,2020-01-01,DRUG-RELATED,24
CALINAN,2020-01-01,VANDALISM,17
PACIANO BANGOY,2020-01-01,RAPE,4
INDANGAN,2020-01-01,THEFT,18
TUNGKALAN,2020-01-01,HOMICIDE,17
CABANTIAN,2020-01-01,RAPE,17
BUHANGIN,2020-01-01,VANDALISM,3
BAGO GALLERA,2020-01-01,ILLEGAL POSSESSION OF FIREARMS,17
TIGATTO,2020-01-01,RAPE,7
BARANGAY 9-A,2020-01-01,ILLEGAL GAMBLING,11
TAMAYONG,2020-01-01,HOMICIDE,16
SAN ISIDRO,2020-01-01,PHYSICAL INJURY,22
BARANGAY 27-C,2020-01-01,DRUG-RELATED,9
DUMOY,2020-01-01,BURGLARY,13
MANUEL GUIANGA,2020-01-01,MURDER,4
SASA,2020-01-01,PHYSICAL INJURY,20
BALENGAENG,2020-01-01,VANDALISM,21
PACIANO BANGOY,2020-01-01,DRUG-RELATED,18
NEW VALENCIA,2020-01-01,MURDER,21
TIBULOY,2020-01-01,CHILD ABUSE,20
MARAPANGI,2020-01-01,MURDER,19
TIBULOY,2020-01-01,PHYSICAL INJURY,23
GUMITAN,2020-01-01,RAPE,18
PAMPANGA,2020-01-01,CHILD ABUSE,21
BARANGAY 17-B,2020-01-01,CHILD ABUSE,11
TACUNAN,2020-01-01,BURGLARY,16
SASA,2020-01-01,ILLEGAL POSSESSION OF FIREARMS,3
74-A MATINA CROSSING,2020-01-01,PHYSICAL INJURY,8
BARANGAY 13-B,2020-01-01,CHILD ABUSE,4
BARANGAY 2-A,2020-01-01,DRUG-RELATED,13
MATINA PANGI,2020-01-01,ILLEGAL GAMBLING,17
BARANGAY 27-C,2020-01-01,ILLEGAL POSSESSION OF FIREARMS,24
MATINA PANGI,2020-01-01,ROBBERY,5
BAGO GALLERA,2020-01-01,ROBBERY,10
ALFONSO ANGLIONGTO SR,2020-01-01,ILLEGAL POSSESSION OF FIREARMS,22
SASA,2020-01-01,RAPE,1
TALOMO RIVER,2020-01-01,PHYSICAL INJURY,10
CALINAN,2020-01-01,ROBBERY,17
LACSON,2020-01-01,HOMICIDE,11
BANTOL,2020-01-01,ROBBERY,1
PANALUM,2020-01-01,BURGLARY,6
BINUGAO,2020-01-01,HOMICIDE,24
BAGO APLAYA,2020-01-01,MURDER,10
SAN ISIDRO,2020-01-01,ILLEGAL POSSESSION OF FIREARMS,24
EDEN,2020-01-01,ILLEGAL GAMBLING,22
TIGATTO,2020-01-01,PHYSICAL INJURY,6
BARANGAY 22-C,2020-01-01,CARNAPPING,16
BARANGAY 9-A,2020-01-01,ROBBERY,3
BARANGAY 8-A,2020-02-01,ILLEGAL GAMBLING,16
NEW VALENCIA,2020-02-01,CARNAPPING,24
DALIAO,2020-02-01,VANDALISM,16
BINUGAO,2020-02-01,VANDALISM,10
MAGTUOD,2020-02-01,CARNAPPING,21
RIVERSIDE,2020-02-01,RAPE,15
CAWAYAN,2020-02-01,CARNAPPING,17
BARANGAY 3-A,2020-02-01,ILLEGAL POSSESSION OF FIREARMS,1
PANACAN,2020-02-01,THEFT,3
TOMAS MONTEVERDE,2020-02-01,THEFT,23
DUTERTE,2020-02-01,ILLEGAL GAMBLING,16
BANTOL,2020-02-01,VANDALISM,5
BARANGAY 27-C,2020-02-01,RAPE,15
VICENTE HIZON,2020-02-01,VANDALISM,3
TAPAK,2020-02-01,MURDER,13
BUHANGIN,2020-02-01,DRUG-RELATED,3
CATIGAN,2020-02-01,ROBBERY,10
MABUHAY,2020-02-01,CARNAPPING,11
SALOY,2020-02-01,MURDER,1
SIRIB,2020-02-01,RAPE,16
TALOMO,2020-02-01,ILLEGAL GAMBLING,2
TAMUGAN,2020-02-01,ILLEGAL GAMBLING,21
ALFONSO ANGLIONGTO SR,2020-02-01,VANDALISM,12
BARANGAY 2-A,2020-02-01,ILLEGAL POSSESSION OF FIREARMS,22
BARANGAY 38-D,2020-02-01,RAPE,17
ULAS,2020-02-01,ILLEGAL POSSESSION OF FIREARMS,2
VICENTE HIZON,2020-02-01,PHYSICAL INJURY,5
DUTERTE,2020-02-01,THEFT,16
FATIMA,2020-02-01,ILLEGAL GAMBLING,13
WANGAN,2020-02-01,CARNAPPING,13
BARANGAY 32-D,2020-02-01,MURDER,5
MATINA APLAYA,2020-02-01,PHYSICAL INJURY,7
TACUNAN,2020-02-01,DRUG-RELATED,1
BARANGAY 9-A,2020-02-01,PHYSICAL INJURY,13
LAPU-LAPU,2020-02-01,RAPE,22
BARANGAY 23-C,2020-02-01,CARNAPPING,15
BARANGAY 3-A,2020-02-01,MURDER,3
CATALUNAN PEQUENO,2020-02-01,VANDALISM,21
TAMAYONG,2020-02-01,THEFT,9
BARANGAY 22-C,2020-02-01,RAPE,9
TALOMO,2020-02-01,ILLEGAL POSSESSION OF FIREARMS,23
MAGTUOD,2020-02-01,ILLEGAL GAMBLING,10
MINTAL,2020-02-01,MURDER,23
BARANGAY 22-C,2020-02-01,HOMICIDE,11
BARANGAY 23-C,2020-02-01,RAPE,2
WANGAN,2020-02-01,ILLEGAL GAMBLING,3
CATALUNAN GRANDE,2020-02-01,CARNAPPING,18
ALFONSO ANGLIONGTO SR,2020-02-01,MURDER,13
BAGO OSHIRO,2020-02-01,RAPE,3
RIVERSIDE,2020-02-01,ILLEGAL GAMBLING,21
SAN ISIDRO,2020-02-01,ILLEGAL POSSESSION OF FIREARMS,4
BAO JOAQUIN,2020-02-01,HOMICIDE,13
MAA,2020-02-01,RAPE,11
LAMANAN,2020-02-01,ROBBERY,18
BARANGAY 17-B,2020-02-01,BURGLARY,17
CATALUNAN PEQUENO,2020-02-01,THEFT,4
PANALUM,2020-02-01,THEFT,16
SUAWAN,2020-02-01,ILLEGAL POSSESSION OF FIREARMS,12
TACUNAN,2020-02-01,CARNAPPING,22
PAQUIBATO,2020-02-01,CHILD ABUSE,14
BARANGAY 10-A,2020-02-01,RAPE,20
SASA,2020-02-01,CHILD ABUSE,6
BARANGAY 27-C,2020-02-01,CARNAPPING,17
WINES,2020-02-01,CHILD ABUSE,11
MAPI-ILA,2020-02-01,VANDALISM,2
EDEN,2020-02-01,ILLEGAL GAMBLING,22
MULIG,2020-02-01,MURDER,14
74-A MATINA CROSSING,2020-02-01,MURDER,17
BARANGAY 19-B,2020-02-01,CHILD ABUSE,18
BARANGAY 17-B,2020-02-01,ILLEGAL POSSESSION OF FIREARMS,24
BARANGAY 22-C,2020-03-01,CARNAPPING,8
BAGO GALLERA,2020-03-01,DRUG-RELATED,3
GUMALANG,2020-03-01,BURGLARY,14
BARANGAY 23-C,2020-03-01,HOMICIDE,1
BAO ESCUELA,2020-03-01,ILLEGAL GAMBLING,10
CATALUNAN GRANDE,2020-03-01,ILLEGAL GAMBLING,7
BAYABAS,2020-03-01,HOMICIDE,11
