BARANGAY,CRIME_TYPE,YEAR,MONTH
" TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)  ",MURDER, 2021 ,12
TALOMO (POB.),MURDER,2021,2
RIVERSIDE,MURDER,2021,5
BARANGAY 17-B,MURDER,2021,6
BAGANIHAN,MURDER, 2021 ,7
BINUGAO,MURDER,2021,3
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",MURDER,2021,10
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",MURDER,2021,10
MULIG,MURDER,2021,2
BAO JOAQUIN,MURDER,2021,8
MATINA PANGI,MURDER,2021,4
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",murder,2021,8
 CARMEN  ,MURDER,2021,1
PAMPANGA,MURDER,2021,8
 BARANGAY 37-D  ,MURDER,2021,4
TAPAK,MURDER,2021,4
TAPAK,MURDER, 2021 ,6
ALFONSO ANGLIONGTO SR,MURDER,2021,12
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",murder,2021,1
PAMPANGA,MURDER,2021,10
BARANGAY 11-A,MURDER,2021, 6 
"MANDUG (BRGY UNDER PS 13, DCPO)",MURDER,2021,11
SUBASTA,murder,2021,10
 BINUGAO  ,Murder,2021,5
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",MURDER,2021,1
BARANGAY 3-A (POB.),Murder, 2021 , 11 
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",MURDER, 2021 , 10 
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",MURDER,2021,12
TAMUGAN,MURDER,2021,7
 BAO JOAQUIN  ,Murder, 2021 ,4
SALAYSAY,murder,2021,5
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",MURDER,2021,1
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",MURDER,2021,7
BINUGAO,MURDER, 2021 ,4
 MATINA PANGI  ,MURDER,2021,4
"MANDUG (BRGY UNDER PS 13, DCPO)",MURDER,2021,1
MARAPANGI,MURDER,2021,4
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",MURDER,2021,1
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",murder,2021,12
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",MURDER,2021,8
BUNAWAN (POB.),MURDER,2021,11
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",MURDER, 2021 ,12
BANTOL,MURDER,2021,5
MALABOG,murder,2021,2
76-A BUCANA,MURDER,2021,3
EDEN,MURDER, 2021 ,6
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",MURDER,2021,12
WANGAN,MURDER,2021,8
" TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)  ",MURDER,2021,5
MINTAL,Murder,2021,2
BARANGAY 28-C,MURDER,2021, 10 
LAMANAN,MURDER,2021,6
 MARAPANGI  ,MURDER,2021,2
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",MURDER,2021,9
 SUAWAN (TULI)  ,MURDER,2021, 7 
GUMALANG,MURDER,2021,4
