BARANGAY,TOTAL_CRIMES
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",33
PAMPANGA,33
BARANGAY 37-D,32
BUNAWAN (POB.),29
40-D BOLTON ISLA,28
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",28
BARANGAY 14-B,28
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",28
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",27
BARANGAY 18-B,27
SALAPAWAN,27
BARANGAY 28-C,26
WANGAN,26
"INDANGAN (BRGY UNDER PS 13, DCPO)",26
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",26
TUNGKALAN,26
BUDA,25
SUBASTA,25
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",25
76-A (BUCANA),25
74-A (MATINA CROSSING),25
LACSON,24
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",24
TACUNAN,24
SALOY,24
BARANGAY 2-A (POB.),24
BINUGAO,24
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",24
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",24
BARANGAY 5-A (POB.),23
BARANGAY 3-A (POB.),23
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",23
BARANGAY 13-B,23
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",23
SAN ISIDRO,23
MAHAYAG,22
BARANGAY 11-A,22
BARANGAY 39-D (POB.),22
CARMEN,22
DALIAO,22
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",22
BAO JOAQUIN,22
BAGANIHAN,22
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",22
TAMUGAN,22
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",21
MALAGOS,21
RIVERSIDE,21
TAMAYONG,21
MALABOG,21
TALOMO RIVER,21
WINES,21
GUMALANG,21
ALAMBRE,21
BAYABAS,20
ULAS,20
MATINA PANGI,20
CAWAYAN,19
BANGKAS HEIGHTS,19
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",19
EDEN,19
MULIG,19
SALAYSAY,19
76-A BUCANA,19
BARANGAY 17-B,19
MAGSAYSAY,19
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",19
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",19
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",18
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",18
TUGBOK (POB.),18
TALOMO (POB.),18
MAPI-ILA,18
CATALUNAN GRANDE,18
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",18
GUMITAN,18
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",18
TAMBOBONG,17
SALUMAY,17
MARILOG,17
VICENTE HIZON SR.,17
MARAPANGI,17
PANALUM,17
LASANG,17
BARANGAY 38-D (OB.),17
BARANGAY 22-C,17
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",17
CALINAN (POB.),17
BARANGAY 23-C,16
BANTOL,16
CABANTIAN,16
TAPAK,16
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",15
ALFONSO ANGLIONGTO SR,15
BARANGAY 32-D,15
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",15
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",15
SASA,15
LUBOGAN,15
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",15
"ACACIA (BRGY UNDER PS 13, DCPO)",15
"MANDUG (BRGY UNDER PS 13, DCPO)",15
NEW VALENCIA,15
LIZADA,15
TORIL (POB.),14
LAMANAN,14
FATIMA (BENOWANG),14
SUAWAN (TULI),14
"WAAN (BRGY UNDER ps 13, DCPO)",14
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",14
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",13
BUHANGIN (POB.),13
COMMUNAL,13
TIGATTO,13
SIRIB,13
PAQUIBATO (POB.),13
PANACAN,13
MINTAL,13
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",13
BAGO OSHIRO,12
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",12
SANTO NINO,12
MABUHAY,11
BARANGAY 26-C,11
BARANGAY 27-C,11
ILANG,10
BAGUIO PROPER,10
TIBUNGCO,10
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",9
