BARANGAY,CARNAPPING_MC,CARNAPPING_MV,COMPUTER-RELATED FRAUD,CYBER LIBEL,HOMICIDE,MURDER,ONLINE DOCUMENT FALSIFICATION,PHYSICAL INJURIES,RA 10175 VIOLATION,RA 9995 (PHOTO/VIDEO VOYEURISM),RAPE,ROBBERY,SWINDLING/ESTAFA (ONLINE),THEFT
40-D BOLTON ISLA,3.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,9.0,2.0,2.0,5.0
74-A (MATINA CROSSING),0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,1.0,0.0,7.0
76-A (BUCANA),0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,4.0,1.0,9.0
76-A BUCANA,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,11.0,1.0,0.0,2.0
"ACACIA (BRGY UNDER PS 13, DCPO)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,7.0
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,9.0,3.0,2.0,8.0
ALAMBRE,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,6.0
ALFONSO ANGLIONGTO SR,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,3.0,0.0,3.0
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,3.0
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,1.0,4.0
BAGANIHAN,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,4.0
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,13.0
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0
BAGO OSHIRO,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,4.0
BAGUIO PROPER,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,5.0
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,10.0,3.0,0.0,7.0
BANGKAS HEIGHTS,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,2.0,1.0,6.0
BANTOL,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,6.0
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,3.0,1.0,2.0
BAO JOAQUIN,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,8.0,3.0,0.0,4.0
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,9.0,0.0,1.0,7.0
BARANGAY 11-A,2.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,6.0
BARANGAY 13-B,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,4.0,1.0,5.0
BARANGAY 14-B,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,7.0,2.0,0.0,10.0
BARANGAY 17-B,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,1.0,0.0,6.0
BARANGAY 18-B,3.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,8.0
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,7.0,5.0,1.0,8.0
BARANGAY 2-A (POB.),2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,9.0
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,5.0,3.0,0.0,7.0
BARANGAY 22-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,5.0
BARANGAY 23-C,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,5.0
BARANGAY 26-C,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,2.0
BARANGAY 27-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,1.0,1.0
BARANGAY 28-C,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,10.0,3.0,0.0,5.0
BARANGAY 3-A (POB.),0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,5.0,2.0,4.0
BARANGAY 32-D,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,4.0
BARANGAY 37-D,1.0,0.0,0.0,1.0,1.0,3.0,0.0,6.0,0.0,0.0,8.0,5.0,0.0,7.0
BARANGAY 38-D (OB.),0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,6.0,2.0,1.0,2.0
BARANGAY 39-D (POB.),0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,8.0
BARANGAY 5-A (POB.),0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,7.0,0.0,0.0,9.0
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",0.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,5.0,3.0,0.0,4.0
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,7.0
BAYABAS,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,2.0,0.0,7.0
BINUGAO,0.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,9.0
BUDA,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,3.0,3.0,8.0
BUHANGIN (POB.),0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0
BUNAWAN (POB.),0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,7.0,2.0,1.0,12.0
CABANTIAN,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,4.0
CALINAN (POB.),0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,4.0
CARMEN,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0
CATALUNAN GRANDE,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,8.0
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,0.0,5.0
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,4.0
CAWAYAN,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,7.0
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,6.0
COMMUNAL,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0
DALIAO,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,6.0
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,8.0
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,5.0
EDEN,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,1.0,3.0,2.0,0.0,5.0
FATIMA (BENOWANG),1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,3.0
GUMALANG,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,8.0
GUMITAN,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,7.0,1.0,0.0,2.0
ILANG,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0
"INDANGAN (BRGY UNDER PS 13, DCPO)",1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,9.0
LACSON,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,6.0,4.0,0.0,9.0
LAMANAN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,5.0
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,6.0,7.0,0.0,5.0
LASANG,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,2.0
LIZADA,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,4.0
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,10.0,2.0,0.0,3.0
LUBOGAN,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,5.0
