DATE,TOTAL_CRIMES
2021-01-01,31.0
2021-02-01,29.0
2021-03-01,34.0
2021-04-01,48.0
2021-05-01,31.0
2021-06-01,31.0
2021-07-01,26.0
2021-08-01,33.0
2021-09-01,43.0
2021-10-01,47.0
2021-11-01,42.0
2021-12-01,51.0
2022-01-01,25.0
2022-02-01,32.0
2022-03-01,32.0
2022-04-01,37.0
2022-05-01,32.0
2022-06-01,47.0
2022-07-01,50.0
2022-08-01,33.0
2022-09-01,35.0
2022-10-01,39.0
2022-11-01,51.0
2022-12-01,60.0
2023-01-01,26.0
2023-02-01,35.0
2023-03-01,24.0
2023-04-01,25.0
2023-05-01,27.0
2023-06-01,24.0
2023-07-01,32.0
2023-08-01,36.0
2023-09-01,34.0
2023-10-01,47.0
2023-11-01,27.0
2023-12-01,38.0
2024-01-01,50.0
2024-02-01,57.0
2024-03-01,42.0
2024-04-01,57.0
2024-05-01,40.0
2024-06-01,52.0
2024-07-01,56.0
2024-08-01,59.0
2024-09-01,69.0
2024-10-01,68.0
2024-11-01,70.0
2024-12-01,96.0
2025-01-01,20.0
2025-02-01,44.0
2025-03-01,31.0
2025-04-01,60.0
2025-05-01,31.0
2025-06-01,32.0
2025-07-01,32.0
2025-08-01,31.0
2025-09-01,44.0
2025-10-01,51.0
2025-11-01,57.0
2025-12-01,42.0
