month,top_offense,top_value,offense_forecasts
2025-01-01,COMPUTER FRAUD,7669258869638.994,"{'COMPUTER FRAUD': 7669258869638.994, 'CYBER LIBEL': -44199192804.359215, 'DATA BREACH': 4331381319032.078, 'DISTURBANCE': 319111182046.6076, 'DRUNK DRIVING': 324560474038.08795, 'HACKING': 59913560876.266, 'IDENTITY THEFT': -179516996657.16644, 'ILLEGAL DRUGS': 342412551865.4622, 'ILLEGAL GAMBLING': 11.467924964689715, 'ILLEGAL POSSESSION OF FIREARM': 8.170325311818058, 'MURDER': 2927783807296.1646, 'ONLINE SCAM': -81220840462.58887, 'PHYSICAL INJURY': -62970289451.40079, 'RAPE': -293798860575.5014, 'ROBBERY': 12.381694996364615, 'THEFT': 1300185679584.293, 'THREATS': -1372314335339.9414, 'UNAUTHORIZED ACCESS': -225120693319.54224, 'VANDALISM': -9816316907.814365}"
2025-02-01,COMPUTER FRAUD,7669258869628.95,"{'COMPUTER FRAUD': 7669258869628.95, 'CYBER LIBEL': -44199192809.36705, 'DATA BREACH': 3824079986560.852, 'DISTURBANCE': 319111182063.6075, 'DRUNK DRIVING': 486840711053.1107, 'HACKING': 59913560873.266, 'IDENTITY THEFT': -179516996656.16266, 'ILLEGAL DRUGS': 342412551874.4582, 'ILLEGAL GAMBLING': 31.467910402193308, 'ILLEGAL POSSESSION OF FIREARM': 11.170325314333606, 'MURDER': 2927783807293.16, 'ONLINE SCAM': -81220840450.57007, 'PHYSICAL INJURY': -62970289441.40501, 'RAPE': -293798860588.5011, 'ROBBERY': 5.381653517582344, 'THEFT': 1733580905441.8818, 'THREATS': -1372314335334.9429, 'UNAUTHORIZED ACCESS': -225120693326.5443, 'VANDALISM': -9816316917.814346}"
2025-03-01,COMPUTER FRAUD,7669258869625.9795,"{'COMPUTER FRAUD': 7669258869625.9795, 'CYBER LIBEL': -44199192804.3671, 'DATA BREACH': 3316778654075.7236, 'DISTURBANCE': 319111182058.6075, 'DRUNK DRIVING': 486840711096.0625, 'HACKING': 59913560868.266, 'IDENTITY THEFT': -179516996652.16257, 'ILLEGAL DRUGS': 342412551865.4574, 'ILLEGAL GAMBLING': 4.4679306630594775, 'ILLEGAL POSSESSION OF FIREARM': 9.170325310979548, 'MURDER': 2927783807288.1597, 'ONLINE SCAM': -81220840452.58565, 'PHYSICAL INJURY': -62970289429.40483, 'RAPE': -293798860568.50183, 'ROBBERY': 31.381787172278887, 'THEFT': 1733580906229.4536, 'THREATS': -1829752446765.519, 'UNAUTHORIZED ACCESS': -225120693329.5441, 'VANDALISM': 63582809350.03239}"
2025-04-01,COMPUTER FRAUD,7669258869644.979,"{'COMPUTER FRAUD': 7669258869644.979, 'CYBER LIBEL': -44199192799.36709, 'DATA BREACH': 2809477321586.7764, 'DISTURBANCE': 478666773085.9275, 'DRUNK DRIVING': 486840711069.12415, 'HACKING': 89870341282.8986, 'IDENTITY THEFT': -179516996652.1626, 'ILLEGAL DRUGS': 342412551851.4577, 'ILLEGAL GAMBLING': 16.467918000026334, 'ILLEGAL POSSESSION OF FIREARM': 16.170325312656576, 'MURDER': 2927783807290.1597, 'ONLINE SCAM': -81220840446.58409, 'PHYSICAL INJURY': -62970289456.40486, 'RAPE': -293798860562.50195, 'ROBBERY': 9.381736475975284, 'THEFT': 1733580906125.8855, 'THREATS': -1829752447137.6858, 'UNAUTHORIZED ACCESS': -225120693323.5445, 'VANDALISM': 21975087737.200356}"
2025-05-01,COMPUTER FRAUD,7669258869640.983,"{'COMPUTER FRAUD': 7669258869640.983, 'CYBER LIBEL': -44199192806.367096, 'DATA BREACH': 2302175989121.7246, 'DISTURBANCE': 478666773078.9131, 'DRUNK DRIVING': 486840711062.1396, 'HACKING': 89870341276.89682, 'IDENTITY THEFT': -179516996651.1626, 'ILLEGAL DRUGS': 342412551855.45764, 'ILLEGAL GAMBLING': 13.467921798930025, 'ILLEGAL POSSESSION OF FIREARM': 15.17032530091735, 'MURDER': 2927783807295.1597, 'ONLINE SCAM': -81220840455.58368, 'PHYSICAL INJURY': -62970289451.40483, 'RAPE': -293798860572.5019, 'ROBBERY': 15.381713430918737, 'THEFT': 1733580906135.2139, 'THREATS': -1829752447115.5916, 'UNAUTHORIZED ACCESS': -225120693318.5447, 'VANDALISM': -9816316929.81434}"
2025-06-01,COMPUTER FRAUD,7669258869635.984,"{'COMPUTER FRAUD': 7669258869635.984, 'CYBER LIBEL': -44199192799.367096, 'DATA BREACH': 1794874656630.6592, 'DISTURBANCE': 478666773067.9155, 'DRUNK DRIVING': 486840711057.1358, 'HACKING': 89870341283.89853, 'IDENTITY THEFT': -239355995546.1074, 'ILLEGAL DRUGS': 342412551869.4577, 'ILLEGAL GAMBLING': 6.467933195663136, 'ILLEGAL POSSESSION OF FIREARM': 41.17032532858839, 'MURDER': 3903711743003.566, 'ONLINE SCAM': -81220840463.58372, 'PHYSICAL INJURY': -62970289435.40485, 'RAPE': -293798860581.50195, 'ROBBERY': 23.381727257540593, 'THEFT': 1733580906121.518, 'THREATS': -1829752447132.0608, 'UNAUTHORIZED ACCESS': -225120693327.54468, 'VANDALISM': -19632633857.629265}"
2025-07-01,COMPUTER FRAUD,7669258869630.984,"{'COMPUTER FRAUD': 7669258869630.984, 'CYBER LIBEL': -44199192804.367096, 'DATA BREACH': 1287573324157.6157, 'DISTURBANCE': 478666773073.91266, 'DRUNK DRIVING': 486840711079.1304, 'HACKING': 89870341278.89629, 'IDENTITY THEFT': -239355995546.73672, 'ILLEGAL DRUGS': 342412551856.4577, 'ILLEGAL GAMBLING': -0.5320699700993561, 'ILLEGAL POSSESSION OF FIREARM': 31.170325322718774, 'MURDER': 3903711743017.883, 'ONLINE SCAM': -81220840463.58386, 'PHYSICAL INJURY': -62970289439.40484, 'RAPE': -293798860586.50195, 'ROBBERY': 33.38175030147137, 'THEFT': 1733580906136.5347, 'THREATS': -1829752447127.1892, 'UNAUTHORIZED ACCESS': -225120693314.54468, 'VANDALISM': -19632633845.628742}"
2025-08-01,COMPUTER FRAUD,10225678492838.03,"{'COMPUTER FRAUD': 10225678492838.03, 'CYBER LIBEL': -58932257074.815384, 'DATA BREACH': 780271991669.5544, 'DISTURBANCE': 478666773086.90814, 'DRUNK DRIVING': 486840711062.1342, 'HACKING': 89870341278.8971, 'IDENTITY THEFT': -239355995546.67804, 'ILLEGAL DRUGS': 456550069125.5025, 'ILLEGAL GAMBLING': 20.467916100561865, 'ILLEGAL POSSESSION OF FIREARM': 25.17032532691136, 'MURDER': 3903711743042.2554, 'ONLINE SCAM': -81220840454.58391, 'PHYSICAL INJURY': -62970289443.40484, 'RAPE': -440698290878.22656, 'ROBBERY': 29.381768736514033, 'THEFT': 1733580906108.465, 'THREATS': -1829752447129.3225, 'UNAUTHORIZED ACCESS': -225120693317.54468, 'VANDALISM': -19632633853.628902}"
2025-09-01,COMPUTER FRAUD,10225678492839.893,"{'COMPUTER FRAUD': 10225678492839.893, 'CYBER LIBEL': -58932257079.858795, 'DATA BREACH': 272970659178.4927, 'DISTURBANCE': 478666773082.9115, 'DRUNK DRIVING': 486840711047.13257, 'HACKING': 89870341282.8978, 'IDENTITY THEFT': -239355995543.5363, 'ILLEGAL DRUGS': 456550069134.74286, 'ILLEGAL GAMBLING': 34.46790786958644, 'ILLEGAL POSSESSION OF FIREARM': 32.17032532188026, 'MURDER': 3903711743039.0703, 'ONLINE SCAM': -81220840450.58388, 'PHYSICAL INJURY': -83960385942.22372, 'RAPE': -440698290874.26764, 'ROBBERY': 17.381690387625195, 'THEFT': 1733580906138.5828, 'THREATS': -1829752447112.2852, 'UNAUTHORIZED ACCESS': -337681039991.3339, 'VANDALISM': -19632633867.62856}"
2025-10-01,COMPUTER FRAUD,10225678492844.143,"{'COMPUTER FRAUD': 10225678492844.143, 'CYBER LIBEL': -58932257077.81237, 'DATA BREACH': -117165336645.78604, 'DISTURBANCE': 478666773076.91125, 'DRUNK DRIVING': 486840711072.1328, 'HACKING': 89870341283.89738, 'IDENTITY THEFT': -239355995545.58002, 'ILLEGAL DRUGS': 456550069148.94037, 'ILLEGAL GAMBLING': 19.46791356795499, 'ILLEGAL POSSESSION OF FIREARM': 5.170325294209228, 'MURDER': 3903711743037.21, 'ONLINE SCAM': -81220840452.58388, 'PHYSICAL INJURY': -83960385914.22195, 'RAPE': -440698290895.24646, 'ROBBERY': 8.381718039934295, 'THEFT': 1733580906101.5098, 'THREATS': -1829752447133.3052, 'UNAUTHORIZED ACCESS': -337681039993.3258, 'VANDALISM': -19632633841.6288}"
2025-11-01,COMPUTER FRAUD,10225678492838.312,"{'COMPUTER FRAUD': 10225678492838.312, 'CYBER LIBEL': -58932257077.83073, 'DATA BREACH': -234330673284.56384, 'DISTURBANCE': 478666773076.91064, 'DRUNK DRIVING': 486840711060.1327, 'HACKING': 89870341273.89749, 'IDENTITY THEFT': -239355995546.5843, 'ILLEGAL DRUGS': 456550069130.95355, 'ILLEGAL GAMBLING': 21.46791546741786, 'ILLEGAL POSSESSION OF FIREARM': 37.17032532942691, 'MURDER': 3903711743033.123, 'ONLINE SCAM': -81220840449.58388, 'PHYSICAL INJURY': -83960385936.19145, 'RAPE': -440698290876.2527, 'ROBBERY': 18.38168577854591, 'THEFT': 1733580906107.587, 'THREATS': -1829752447119.296, 'UNAUTHORIZED ACCESS': -337681039989.31305, 'VANDALISM': -19632633849.6287}"
2025-12-01,COMPUTER FRAUD,10225678492838.299,"{'COMPUTER FRAUD': 10225678492838.299, 'CYBER LIBEL': -58932257074.83899, 'DATA BREACH': 4721517314867.805, 'DISTURBANCE': 478666773068.9105, 'DRUNK DRIVING': 486840711053.1328, 'HACKING': 89870341290.89758, 'IDENTITY THEFT': -239355995553.5724, 'ILLEGAL DRUGS': 456550069144.94653, 'ILLEGAL GAMBLING': 30.467930663047436, 'ILLEGAL POSSESSION OF FIREARM': 13.170325302594394, 'MURDER': 3903711743049.181, 'ONLINE SCAM': -81220840463.58388, 'PHYSICAL INJURY': -83960385931.22182, 'RAPE': -440698290891.2524, 'ROBBERY': 20.381736475486747, 'THEFT': 1733580906107.5671, 'THREATS': -1829752447133.257, 'UNAUTHORIZED ACCESS': -337681039994.31635, 'VANDALISM': -19632633858.628742}"
