month,month_name,month_num,holiday_period,risk_level,notes,top_1,top_1_count,top_2,top_2_count,top_3,top_3_count,forecast_total
2025-12-01,December 2025,12,Christmas Season,HIGH,"Shopping season, highest property crime risk",CARNAPPING,80.88515875621039,THEFT,70.1344316703575,DRUG-RELATED,66.33748868749748,925.3703008396982
2026-01-01,January 2026,1,New Year Season,HIGH,"Post-holiday period, increased property crimes",HACKING,66.6836644131492,IDENTITY THEFT,61.462429044055845,CARNAPPING,59.029157470773015,866.8697951808667
2026-02-01,February 2026,2,Regular Period,NORMAL,Standard crime patterns,BURGLARY,77.57284708884991,VANDALISM,69.42304066211699,IDENTITY THEFT,69.33612469060935,901.4337715353356
2026-03-01,March 2026,3,Holy Week Approaching,ELEVATED,Pre-Holy Week activities,MURDER,78.44653583438192,IDENTITY THEFT,74.35807216656133,BURGLARY,73.01460444913889,869.5278727876371
2026-04-01,April 2026,4,Holy Week,HIGH,"Peak travel season, property crimes increase",IDENTITY THEFT,85.89274737043006,RAPE,68.8955056398681,CARNAPPING,68.39423985882007,876.4092805909021
2026-05-01,May 2026,5,Summer Break,ELEVATED,"School vacation, youth-related incidents",THEFT,78.09442336360647,HOMICIDE,77.5997710114462,DRUG-RELATED,77.13901033618947,858.7816696229754
2026-06-01,June 2026,6,Fiesta Season,ELEVATED,Community celebrations,CARNAPPING,86.08074729393196,RAPE,74.00778552077043,ONLINE SCAM,72.85520234163747,916.7730931929951
2026-07-01,July 2026,7,Fiesta Season,ELEVATED,Continued festivities,ILLEGAL GAMBLING,71.63424674962948,VANDALISM,68.7247163767956,IDENTITY THEFT,63.673950924392756,843.3564047067588
2026-08-01,August 2026,8,Regular Period,NORMAL,Back to routine,CHILD ABUSE,76.1654967086371,CYBER LIBEL,72.09873308454502,MURDER,70.96151957929114,881.4929566894288
2026-09-01,September 2026,9,Regular Period,NORMAL,Standard patterns,CYBER LIBEL,78.77304468145773,ONLINE SCAM,72.09431011338664,RAPE,63.867264857205924,869.934525760367
2026-10-01,October 2026,10,Regular Period,NORMAL,Pre-holiday baseline,HACKING,118.57535562092545,CYBER LIBEL,93.06193242048424,IDENTITY THEFT,71.98442248796232,879.2959497420226
2026-11-01,November 2026,11,All Saints' Day,ELEVATED,"Cemetery visits, pickpocketing risk",BURGLARY,101.12921530920516,VANDALISM,71.68651099670447,DRUG-RELATED,70.24582866990566,924.1487375173156
